Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
200;1;0.950;-1.950;-3.759;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00
201;1;1.050;-0.050;-3.422;-0.01;0.01;0.00;-0.11;0.12;0.00;0.00;0.00
202;1;1.050;-0.150;-3.440;0.00;0.00;0.00;-0.01;0.01;0.00;0.00;-0.01
203;1;1.050;-0.250;-3.459;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00
204;1;1.050;-0.350;-3.477;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
205;1;1.050;-0.450;-3.495;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
206;1;1.050;-0.550;-3.514;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
207;1;1.050;-0.650;-3.532;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
208;1;1.050;-0.750;-3.551;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
209;1;1.050;-0.850;-3.569;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
210;1;1.050;-0.950;-3.588;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
211;1;1.050;-1.050;-3.606;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
212;1;1.050;-1.150;-3.625;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
213;1;1.050;-1.250;-3.643;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
214;1;1.050;-1.350;-3.661;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
215;1;1.050;-1.450;-3.680;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
216;1;1.050;-1.550;-3.698;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
217;1;1.050;-1.650;-3.717;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
218;1;1.050;-1.750;-3.735;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
219;1;1.050;-1.850;-3.754;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
220;1;1.050;-1.950;-3.772;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00
221;1;1.150;-0.050;-3.446;-0.01;0.01;0.00;-0.08;0.10;0.00;0.00;0.00
222;1;1.150;-0.150;-3.464;0.00;0.00;0.00;-0.01;0.01;0.00;0.00;0.00
223;1;1.150;-0.250;-3.482;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
224;1;1.150;-0.350;-3.500;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
225;1;1.150;-0.450;-3.518;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
226;1;1.150;-0.550;-3.535;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
227;1;1.150;-0.650;-3.553;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
228;1;1.150;-0.750;-3.571;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
229;1;1.150;-0.850;-3.589;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
230;1;1.150;-0.950;-3.607;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
231;1;1.150;-1.050;-3.625;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
232;1;1.150;-1.150;-3.642;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
233;1;1.150;-1.250;-3.660;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
234;1;1.150;-1.350;-3.678;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
235;1;1.150;-1.450;-3.696;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
236;1;1.150;-1.550;-3.714;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
237;1;1.150;-1.650;-3.731;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
